Dewpoint,Samples,SamplingDuration,Pressure,Latitude,Longitude
8.3252,41,6.984126984,322,37.88,-122.23
8.3014,21,6.238137083,2401,37.86,-122.22
7.2574,52,8.288135593,496,37.85,-122.24
5.6431,52,5.817351598,558,37.85,-122.25
3.8462,52,6.281853282,565,37.85,-122.25
4.0368,52,4.761658031,413,37.85,-122.25
3.6591,52,4.931906615,1094,37.84,-122.25
3.12,52,4.797527048,1157,37.84,-122.25
2.0804,42,4.294117647,1206,37.84,-122.26
3.6912,52,4.970588235,1551,37.84,-122.25
3.2031,52,5.47761194,910,37.85,-122.26
3.2705,52,4.772479564,1504,37.85,-122.26
3.075,52,5.322649573,1098,37.85,-122.26
2.6736,52,4,345,37.84,-122.26
1.9167,52,4.262903226,1212,37.85,-122.26
2.125,50,4.242424242,697,37.85,-122.26
2.775,52,5.939577039,793,37.85,-122.27
2.1202,52,4.052805281,648,37.85,-122.27
1.9911,50,5.343675418,990,37.84,-122.26
2.6033,52,5.465454545,690,37.84,-122.27
1.3578,40,4.524096386,409,37.85,-122.27
1.7135,42,4.478142077,929,37.85,-122.27
1.725,52,5.09623431,1015,37.84,-122.27
2.1806,52,5.193846154,853,37.84,-122.27
2.6,52,5.27014218,1006,37.84,-122.27
2.4038,41,4.495798319,317,37.85,-122.28
2.4597,49,4.728033473,607,37.85,-122.28
1.808,52,4.780856423,1102,37.85,-122.28
1.6424,50,4.401691332,1131,37.84,-122.28
1.6875,52,4.703225806,395,37.84,-122.28
1.9274,49,5.068783069,863,37.84,-122.28
1.9615,52,4.882086168,1168,37.84,-122.28
1.7969,48,5.737313433,1026,37.84,-122.27
1.375,49,5.030395137,754,37.83,-122.27
2.7303,51,4.972014925,1258,37.83,-122.27
1.4861,49,4.602272727,570,37.83,-122.27
1.0972,48,4.807486631,987,37.83,-122.27
1.4103,52,3.749379653,901,37.83,-122.28
3.48,52,4.757281553,689,37.83,-122.26
2.5898,52,3.494252874,1377,37.83,-122.26
2.0978,52,4.215189873,946,37.83,-122.26
1.2852,51,3.759036145,517,37.83,-122.26
1.025,49,3.772486772,462,37.84,-122.26
3.9643,52,4.797979798,467,37.84,-122.26
3.0125,52,4.941780822,660,37.83,-122.26
2.6768,52,4.335078534,718,37.83,-122.26
2.026,50,3.700657895,616,37.83,-122.26
1.7348,43,3.980237154,558,37.82,-122.27
0.9506,40,3.9,423,37.82,-122.26
1.775,40,2.6875,700,37.82,-122.27
0.9218,21,2.0456621,735,37.82,-122.27
